ACADEMIC_YEAR,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,CURRENT_INSTITUTE_ADDRESS,PROGRAMME,LEVEL_CATEGORY,INSTI_REGION,INSTI_STATE,INSTITUTE_DISTRICT,INSTI_CITY,INST_TYPE,WOMEN_INST_FLAG,MINORITY_FLAG,sno
2016-2017,1-2866109078,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"KATTIGENAHALLI, JALA HOBLI, YELAHANKA,",ENGINEERING AND TECHNOLOGY,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,956
2016-2017,1-2866109078,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"KATTIGENAHALLI, JALA HOBLI, YELAHANKA,",MANAGEMENT,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,957
2016-2017,1-2866109078,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"KATTIGENAHALLI, JALA HOBLI, YELAHANKA,",MCA,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,958
2016-2017,1-2866109078,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"KATTIGENAHALLI, JALA HOBLI, YELAHANKA,",ENGINEERING AND TECHNOLOGY,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,959
2016-2017,1-2866109078,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"KATTIGENAHALLI, JALA HOBLI, YELAHANKA,",ENGINEERING AND TECHNOLOGY,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,960
2016-2017,1-2866109078,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"KATTIGENAHALLI, JALA HOBLI, YELAHANKA,",ENGINEERING AND TECHNOLOGY,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,961
2016-2017,1-2866109078,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"KATTIGENAHALLI, JALA HOBLI, YELAHANKA,",ENGINEERING AND TECHNOLOGY,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,962
2016-2017,1-2866109078,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"KATTIGENAHALLI, JALA HOBLI, YELAHANKA,",ENGINEERING AND TECHNOLOGY,UG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,963
2016-2017,1-2873937001,ABES INSTITUTE OF BUSINESS  MANAGEMENT,"CAMPUS 2,
19TH KM STONE ,
NATIONAL HIGHWAY - 24
VIJAY NAGAR,
GHAZIABAD CITY,
GHAZIABAD",MANAGEMENT,PG,Northern,Uttar Pradesh,GHAZIABAD,GHAZIABAD,Unaided - Private,N,N,964
2016-2017,1-2873937077,LATE SMT. SHARDABEN GHANSHYAMBHAI PATEL INSTITUTE OF MANAGEMENT STUDIES,"AMRAPALI TOWNSHIP,
PETLAD-KHAMBHAT ROAD,
DHARMAJ-388430,
TA : PETLAD,
DIST : ANAND",MANAGEMENT,PG,Central,Gujarat,ANAND,DHARMAJ,Unaided - Private,N,N,965
2016-2017,1-2873937077,LATE SMT. SHARDABEN GHANSHYAMBHAI PATEL INSTITUTE OF MANAGEMENT STUDIES,"AMRAPALI TOWNSHIP,
PETLAD-KHAMBHAT ROAD,
DHARMAJ-388430,
TA : PETLAD,
DIST : ANAND",MANAGEMENT,PG,Central,Gujarat,ANAND,DHARMAJ,Unaided - Private,N,N,966
2016-2017,1-2866115737,VEL SRI RANGA SANKU COLLEGE(MCA),"42,AVADI-ALAMATHI ROAD",MCA,PG,Southern,Tamil Nadu,THIRUVALLUR,MORAI,Unaided - Private,N,N,967
2016-2017,1-2872632286,SATYDEVA INSTITUTE OF TECHNOLOGY,"GRAM-PADUMTARA, RAJNANDGAON, 491441(C.G.)",ENGINEERING AND TECHNOLOGY,UG,Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Unaided - Private,N,N,968
2016-2017,1-2872632286,SATYDEVA INSTITUTE OF TECHNOLOGY,"GRAM-PADUMTARA, RAJNANDGAON, 491441(C.G.)",ENGINEERING AND TECHNOLOGY,UG,Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Unaided - Private,N,N,969
2016-2017,1-2872632286,SATYDEVA INSTITUTE OF TECHNOLOGY,"GRAM-PADUMTARA, RAJNANDGAON, 491441(C.G.)",ENGINEERING AND TECHNOLOGY,UG,Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Unaided - Private,N,N,970
2016-2017,1-2872632286,SATYDEVA INSTITUTE OF TECHNOLOGY,"GRAM-PADUMTARA, RAJNANDGAON, 491441(C.G.)",ENGINEERING AND TECHNOLOGY,UG,Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Unaided - Private,N,N,971
2016-2017,1-2872632286,SATYDEVA INSTITUTE OF TECHNOLOGY,"GRAM-PADUMTARA, RAJNANDGAON, 491441(C.G.)",ENGINEERING AND TECHNOLOGY,UG,Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Unaided - Private,N,N,972
2016-2017,1-2864393715,GLOBAL INSTITUTE OF MANAGEMENT,"AT:ADRAJ MOTI, UVARSAD SARDHAV ROAD
TA&DIST:GANDHINAGAR (GUJARAT)
PIN:382640",MANAGEMENT,PG,Central,Gujarat,GANDHINAGAR,ADRAJ MOTI,Unaided - Private,N,N,973
2016-2017,1-2864393715,GLOBAL INSTITUTE OF MANAGEMENT,"AT:ADRAJ MOTI, UVARSAD SARDHAV ROAD
TA&DIST:GANDHINAGAR (GUJARAT)
PIN:382640",MCA,PG,Central,Gujarat,GANDHINAGAR,ADRAJ MOTI,Unaided - Private,N,N,974
2016-2017,1-2879712701,SPARTA INSTITUTE OF TECHNOLOGY & MANAGEMENT,"GRAM SEMRA SAYYAD,POST OFFICE IMALIYA,",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,BHOPAL,BHOPAL,Unaided - Private,N,N,975
2016-2017,1-2879712701,SPARTA INSTITUTE OF TECHNOLOGY & MANAGEMENT,"GRAM SEMRA SAYYAD,POST OFFICE IMALIYA,",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,BHOPAL,BHOPAL,Unaided - Private,N,N,976
2016-2017,1-2879712701,SPARTA INSTITUTE OF TECHNOLOGY & MANAGEMENT,"GRAM SEMRA SAYYAD,POST OFFICE IMALIYA,",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,BHOPAL,BHOPAL,Unaided - Private,N,N,977
2016-2017,1-2879712701,SPARTA INSTITUTE OF TECHNOLOGY & MANAGEMENT,"GRAM SEMRA SAYYAD,POST OFFICE IMALIYA,",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,BHOPAL,BHOPAL,Unaided - Private,N,N,978
2016-2017,1-2879712701,SPARTA INSTITUTE OF TECHNOLOGY & MANAGEMENT,"GRAM SEMRA SAYYAD,POST OFFICE IMALIYA,",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,BHOPAL,BHOPAL,Unaided - Private,N,N,979
2016-2017,1-2887676592,INDIRA GANDHI BALIKA NIKETAN MCA INSTITUTE ARDAWATA,"INDIRA GANDHI BALIKA NIKETAN MCA INSTITUTE ARDAWATA
TEHSIL - CHIRAWA
DIST - JHUNJHUNU
RAJASTHAN
PIN - 333027",MCA,PG,North-West,Rajasthan,JHUNJHUNU,CHIRAWA,Unaided - Private,Y,N,980
2016-2017,1-2887676746,APEEJAY INSTITUTE OF TECHNOLOGY- SCHOOL OF MANAGEMENT FOR WOMEN,"1, INSTITUTIONAL AREA, KNOWLEDGE PARK - 1
SURAJPUR KASNA ROAD
GREATER NOIDA",MANAGEMENT,PG,Northern,Uttar Pradesh,GAUTAM BUDDHA NAGAR,GREATER NOIDA,Unaided - Private,Y,N,981
2016-2017,1-2888987701,"J.S.S.S.S.S  DIPLOMA PHARMACY COLLEGE, DHARMAJ","AMRAPALI TOWNSHIP,
PETLAD-KHAMBHAT ROAD,",PHARMACY,DIPLOMA,Central,Gujarat,ANAND,DHARMAJ,Unaided - Private,N,N,982
2016-2017,1-2864396835,GLOBAL INSTITUTE OF MANAGEMENT & TECHNOLOGY ALLAHABAD,"VILL: AHMADPUR, ASRAULI, TEHSIL: SADAR",MANAGEMENT,PG,Northern,Uttar Pradesh,ALLAHABAD,ALLAHABAD,Unaided - Private,N,N,983
2016-2017,1-2864373681,CT COLLEGE OF PHARMACY,"VILL. SHAHPUR, P.O. UDOPUR, VIA JAMSHER KHAS, PARTAPPURA ROAD, JALANDHAR",PHARMACY,DIPLOMA,North-West,Punjab,JALANDHAR,SHAHPUR,Unaided - Private,N,N,984
2016-2017,1-2864397596,R.B. INSTITUTE OF TECHNOLOGY,"JALESAR ROAD, AGRA",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,AGRA,AGRA,Unaided - Private,N,N,985
2016-2017,1-2864397596,R.B. INSTITUTE OF TECHNOLOGY,"JALESAR ROAD, AGRA",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,AGRA,AGRA,Unaided - Private,N,N,986
2016-2017,1-2864397596,R.B. INSTITUTE OF TECHNOLOGY,"JALESAR ROAD, AGRA",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,AGRA,AGRA,Unaided - Private,N,N,987
2016-2017,1-2864397596,R.B. INSTITUTE OF TECHNOLOGY,"JALESAR ROAD, AGRA",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,AGRA,AGRA,Unaided - Private,N,N,988
2016-2017,1-2864397596,R.B. INSTITUTE OF TECHNOLOGY,"JALESAR ROAD, AGRA",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,AGRA,AGRA,Unaided - Private,N,N,989
2016-2017,1-2864397596,R.B. INSTITUTE OF TECHNOLOGY,"JALESAR ROAD, AGRA",MANAGEMENT,PG,Northern,Uttar Pradesh,AGRA,AGRA,Unaided - Private,N,N,990
2016-2017,1-2873200901,DEVSTHALI VIDYAPEETH COLLEGE OF MANAGEMENT STUDIES,"VILL - KACCHI KHAMARIA, LALPUR",MANAGEMENT,PG,Northern,Uttarakhand,UDHAM SINGH NAGAR,RUDRAPUR,Unaided - Private,N,N,991
2016-2017,1-2873201004,R R COLLEGE OF MANAGEMENT STUDIES & COMPUTER APPLICATIONS,"# 14, RAMOHALLI CROSS,MYSORE ROAD,KUMBALAGODU,BANGALORE-560 074",MANAGEMENT,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,992
2016-2017,1-2873201004,R R COLLEGE OF MANAGEMENT STUDIES & COMPUTER APPLICATIONS,"# 14, RAMOHALLI CROSS,MYSORE ROAD,KUMBALAGODU,BANGALORE-560 074",MCA,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,993
2016-2017,1-2864375167,S. P. K. M. M. B. A. COLLEGE - JETPUR,"SARDAR PATEL KELVANI MANDAL - JETPUR MANAGED M. B. A. COLLEGE - JETPUR,
SMT. RANIBEN BAVANJIBHAI HIRAPRA EDUCATIONAL CAMPUS,
NR. RAILWAY CROSSING, 
DHORAJI ROAD,",MANAGEMENT,PG,Central,Gujarat,RAJKOT,JETPUR,Unaided - Private,N,N,994
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,995
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,996
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,997
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,998
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,999
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,1000
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,DIPLOMA,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,1001
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,DIPLOMA,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,1002
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,1003
2017-2018,1-2812860769,SREEKAVITHA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KRISHNA PURAM VILLAGE,
MADHIRA MANDAL,
MADHIRA,
KHAMMAM DISTRICT",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KHAMMAM,MADHIRA,Unaided - Private,N,N,1004
2017-2018,1-2813056360,ELLENKI COLLEGE OF ENGINEERING FOR WOMEN,"PATELGUDA(V),PATANCHERU(MANDAL), NEAR BHEL, MEDAK DISTRICT., HYDERABAD,PIN:502 319.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,MEDAK,PATANCHERU,Unaided - Private,Y,N,1005
2017-2018,1-2813056360,ELLENKI COLLEGE OF ENGINEERING FOR WOMEN,"PATELGUDA(V),PATANCHERU(MANDAL), NEAR BHEL, MEDAK DISTRICT., HYDERABAD,PIN:502 319.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,MEDAK,PATANCHERU,Unaided - Private,Y,N,1006
2017-2018,1-2813056360,ELLENKI COLLEGE OF ENGINEERING FOR WOMEN,"PATELGUDA(V),PATANCHERU(MANDAL), NEAR BHEL, MEDAK DISTRICT., HYDERABAD,PIN:502 319.",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,MEDAK,PATANCHERU,Unaided - Private,Y,N,1007
2017-2018,1-2813056360,ELLENKI COLLEGE OF ENGINEERING FOR WOMEN,"PATELGUDA(V),PATANCHERU(MANDAL), NEAR BHEL, MEDAK DISTRICT., HYDERABAD,PIN:502 319.",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,MEDAK,PATANCHERU,Unaided - Private,Y,N,1008
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1009
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1010
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1011
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1012
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1013
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,DIPLOMA,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1014
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,DIPLOMA,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1015
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1016
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1017
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1018
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,DIPLOMA,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1019
2017-2018,1-2813043638,PRAGNA BHARATH INSTITUTE OF TECHNOLOGY,"MUDIMYAL VILLAGE
CHEVELLA MANDAL
RANGAREDDY DIST
ANDHRA PRADESH
PIN: 501503",ENGINEERING AND TECHNOLOGY,DIPLOMA,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,N,1020
2017-2018,1-2812671700,KAVITHA MEMORIAL P G COLLEGE,"KAVITHA MEMORIAL P G COLLEGE
VELUGUMATLA (V)
KHAMMAM (U) -507 002
KHAMMAM (DT)
ANDHRA PRADESH",MCA,PG,South-Central,Telangana,KHAMMAM,KHAMMAM,Unaided - Private,N,N,1021
2017-2018,1-2812780277,KAVITHA MEMORIAL P G COLLEGE,"VELUGUMATLA,
KHAMMAM URBAN
KHAMMAM DT
507002
ANDHRAPRADESH",MANAGEMENT,PG,South-Central,Telangana,KHAMMAM,KHAMMAM,Unaided - Private,N,N,1022
2017-2018,1-2813027492,DAVID MEMORIAL COLLEGE OF PHARMACY,"YACHARAM VILLEGE
YACHARAM MANDAL
RANGAREDDY DISTRICT",PHARMACY,UG,South-Central,Telangana,RANGAREDDI,YACHARAM MANDAL,Unaided - Private,N,Y,1023
2017-2018,1-2813027492,DAVID MEMORIAL COLLEGE OF PHARMACY,"YACHARAM VILLEGE
YACHARAM MANDAL
RANGAREDDY DISTRICT",PHARMACY,PG,South-Central,Telangana,RANGAREDDI,YACHARAM MANDAL,Unaided - Private,N,Y,1024
2017-2018,1-2813027492,DAVID MEMORIAL COLLEGE OF PHARMACY,"YACHARAM VILLEGE
YACHARAM MANDAL
RANGAREDDY DISTRICT",PHARMACY,PG,South-Central,Telangana,RANGAREDDI,YACHARAM MANDAL,Unaided - Private,N,Y,1025
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1026
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1027
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1028
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1029
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1030
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1031
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",MANAGEMENT,PG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1032
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1033
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1034
2017-2018,1-2813035667,VIVEKANANDA INSTITUTE OF TECHNOLOGY & SCIENCE (N9),"OPP. HOUSING BOARD COLONY, 
BY-PASS ROAD, KARIMNAGAR
ANDHRA PRADESH 505 001",ENGINEERING AND TECHNOLOGY,PG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,N,1035
2017-2018,1-2016772234,IDEALS INTERNATIONAL COLLEGE OF MANAGEMENT,"""SHIKARBADI"", UDAIPUR RAOD, VILLAGE- DHARIYAWAD, DIST. PRATAPGARH",MANAGEMENT,PG,North-West,Rajasthan,PRATAPGARH,DHARIYAWAD,Unaided - Private,N,N,1036
2017-2018,1-426749701,DADI VEERUNAIDU PG COLLEGE,"DADI VEERUNAIDU PG COLLEGE
BLOCK NO.1
GAVARAPALEM WARD
ANAKAPALLE,
VISAKHAPATNAM DIST- 531 001.",MCA,PG,South-Central,Andhra Pradesh,VISHAKHAPATNAM,ANAKAPALLE,Unaided - Private,N,N,1037
2017-2018,1-2813299363,MADHIRA COLLEGE OF ENGINEERING,"MADHIRANAGAR,
PALEANNARAM (V),
CHILKUR (M),
KODAD,
NALGONDA DIST., A.P.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,NALGONDA,KODAD,Unaided - Private,N,N,1038
2017-2018,1-2813299363,MADHIRA COLLEGE OF ENGINEERING,"MADHIRANAGAR,
PALEANNARAM (V),
CHILKUR (M),
KODAD,
NALGONDA DIST., A.P.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,NALGONDA,KODAD,Unaided - Private,N,N,1039
2017-2018,1-2813299363,MADHIRA COLLEGE OF ENGINEERING,"MADHIRANAGAR,
PALEANNARAM (V),
CHILKUR (M),
KODAD,
NALGONDA DIST., A.P.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,NALGONDA,KODAD,Unaided - Private,N,N,1040
2017-2018,1-2813299363,MADHIRA COLLEGE OF ENGINEERING,"MADHIRANAGAR,
PALEANNARAM (V),
CHILKUR (M),
KODAD,
NALGONDA DIST., A.P.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,NALGONDA,KODAD,Unaided - Private,N,N,1041
2017-2018,1-2813299363,MADHIRA COLLEGE OF ENGINEERING,"MADHIRANAGAR,
PALEANNARAM (V),
CHILKUR (M),
KODAD,
NALGONDA DIST., A.P.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,NALGONDA,KODAD,Unaided - Private,N,N,1042
2017-2018,1-2813299363,MADHIRA COLLEGE OF ENGINEERING,"MADHIRANAGAR,
PALEANNARAM (V),
CHILKUR (M),
KODAD,
NALGONDA DIST., A.P.",MANAGEMENT,PG,South-Central,Telangana,NALGONDA,KODAD,Unaided - Private,N,N,1043
2017-2018,1-2813257816,VIJAY COLLEGE OF ENGINEERING FOR WOMEN,"VILL:MANIKBHANDAR
MANDAL: MAKLOOR,
DISTRICT: NIZAMABAD-503003",ENGINEERING AND TECHNOLOGY,DIPLOMA,South-Central,Telangana,NIZAMABAD,NIZAMABAD,Unaided - Private,Y,N,1044
